"-OR-","-of-"
"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure kaartvalidatie"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validatie is verplicht voor Maestro kaarten. Ondersteuning voor American Express kaarten benodigd akkoord met extra voorwaarden. Leer meer op <a href=http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=http://www.paypal.com/amexupdate>http://www.paypal.com/amexupdate</a>.","Maestro credit cards vereisten 3D Secure-validatie. Ondersteuning van credit cards van American Express vereisen een extra overeenkomst. Meer informatie hierover vindt u op <a href=http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=http://www.magentocommerce.com/paypal"">Accepteer nu ook betalingen via PayPal! Start hier!</a>"
"<a href=http://www.magentocommerce.com/paypal>Start accepting payments via PayPal!</a>","<a href=http://www.magentocommerce.com/paypal"">Start met het ontvangen van betalingen via Paypal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Er is een waarde nodig voor live-modus. Zie uw CardinalCommerce overeenkomst"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Houd vast for conflict of ander onderzoek)"
"ACH Deposit (Reversal)","ACH Deposit (Herroeping)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Opname"
"API Password","API wachtwoord"
"API Signature","API handtekening"
"API User Name","API gebruikersnaam"
"API Username","API gebruikersnaam"
"API Uses Proxy","API gebruikt Proxy"
"API/Integration","API/Integratie"
"API/Integration Settings","API/Integratieinstellingen"
"Ability for buyer to purchase without PayPal account.","Koper kan zonder een PayPal account ook afrekenen (PayPal account is niet verplicht)"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Accepteer PayPal betalingen in uw winkelwagen. PayPal zal uw credit card betalingen via de 'Payflow Pro Gateway' verwerken."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Accepteer betalingen zonder dat klanten uw website hoeven te verlaten. Veel populaire web-hosting services en winkelwagens komen met de 'Payflow payment gateway' dus zijn eenvoudig in te stellen."
"Acceptance Mark","Acceptatie-indicatie"
"Acceptance Mark Image","Acceptatie-indicatie afbeelding"
"Account-to-Account Payment, initiated by PayPal","Account-naar-Account Betaling, op initiatief van PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Voeg een Express Checkout-knop toe aan uw bestaande winkelwagentje voor snelle en eenvoudige credit card betalingen. PayPal verwerkt alle betalingen."
"Additional Options","Extra opties"
"Address Verification System Response","Antworod adresverificatie systeem"
"All the address information matched","Alle adresinformatie komt overeen"
"Allow in Billing Agreement Wizard","Toestaan in incasso-overeenkomsten-wizard"
"Allowable values: paypal"",primary (default)","Toegestane waarden: paypal"",primair (standaard)"
"Allowed Credit Card Types","Toegestane credit card typen"
"Allowed Credit Card Types"",Toegestane waarden: ""paypal",""
"Also affects mini-shopping cart.","Ook van invloed op de mini-winkelwagen."
"Amex","American Express"
"Api/Integration","Api/Intergratie"
"Ask Customer","Vraag klant"
"Attempted Authentication, Bad Result","Gepoogde authenticatie, slecht resultaat "
"Attempted Authentication, Good Result","Gepoogde authenticatie, goed resultaat "
"Auction Payment other than through eBay","Veilig-betaling anders dan via eBay"
"Authenticated, Bad Result","Geauthenticeerd, slecht resultaat"
"Authenticated, Good Result","Geauthenticeerd, goed resultaat"
