"PDF Customiser by Fooman","PDF Customiser van Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Voeg hier uw eigen commentaar toe dat onderaan de factuur wordt geprint, bijvoorbeeld uw bankrekeningnummer en betalingsvoorwaarden"
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Voeg hier uw eigen commentaar toe dat onderaan de creditnota wordt geprint"
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Voeg hier uw eigen commentaar toe dat onderaan de pakbon wordt geprint"
"Bottom Margin","Marge onderkant"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Kies Helvetica, Times of Courier om het bestand klein te houden. Kies Dejavu-lettertypes voor ondersteuning van meer tekens (UTF-8)."
"Credit Memo Title","Titel creditnota"
"Custom Text","Aangepaste tekst"
"Font","Lettertype"
"Font Size","Tekengrootte"
"Invoice Title","Titel factuur"
"Logo for the PDF Print-outs","Logo voor de PDF Uitdraaien"
"Page Size","Paginaformaat"
"Shipment Title","Titel verzending"
"Side Margins","Marge zijkant"
"Store Address","Winkeladres"
"Tax Details","Belastinggegevens"
"Top Margin","Marge bovenkant"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de creditnota? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de factuur? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de pakbon? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"A4","A4"
"letter","brief"
"Billing Address only","Alleen factuuradres"
"Shipping Address only","Alleen verzendadres"
"Both Addresses","Beide adressen"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign PDF","PDF digitaal ondertekenen"
"Signature","Handtekening"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopieer de inhoud van uw certificaat/handtekening-bestand inclusief uw priv&eacute;-sleutel hier. Kopieer alles van -----BEGIN RSA PRIVATE KEY----- tot -----END CERTIFICATE-----"
"Password of Signature","Wachtwoord van Handtekening"
"THSarabunPSK (Thai)","THSarabunPSK (enkel voor Thailand)"
"Add your custom comments here to appear at the bottom of the Order Print-out.","Voeg hier uw eigen commentaar toe dat onderaan de orderbevestiging wordt geprint "
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de orderbevestiging? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Display","Tonen"
"None","Geen"
"Product Image","Productafbeelding"
"SKU Barcode","Barcode van artikel"
"Display Quantity as full number","Toon hoeveelheid als heel getal"
"US","V.S."
"European","Europees"
"Customer Address Format","Opmaak Adres Klant"
"Display Base and Order Currency","Toon Basis en Order Valuta"
"Delivery Date","Afleverdatum"
"Display Delivery Date","Toon Afleverdatum"
"Displays the date of the invoice again. Needed in some jurisdictions.","Toont nogmaals de factuurdatum. Noodzakelijk in sommige rechtsgebieden."
"Print Order History with Comments","Druk Bestelgeschiedenis af Incl. Commentaar"
"Single - Shipping Address Label","Enkel - Etiket Verzendadres"
"Single - Billing Address Label","Enkel - Etiket Factuuradres"
"Double - Both Addresses","Dubbel - Beide Adressen"
"Use Integrated Labels","Gebruik Geïntegreerde Etiketten"
"Print Order as Packing Slip","Print Order als Pakbon"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Gebruik deze optie als u direct pakbonen wilt uitdraaien zonder eerst een verzending aan te maken. Echter met deze optie ingeschakeld kunt u geen pakbonnen uitdraaien met het verzendnummer erop. (In plaats daarvan wordt het ordernummer gebruikt.)"
"Footer Block 1","Footer Blok 1"
"Footer Block 2","Footer Blok 2"
"Footer Block 3","Footer Blok 3"
"Footer Block 4","Footer Blok 4"
"Double - Shipping and Return Addresses","Zowel Verzend- als retouradres"
"Return Address","Retouradres"
"Total Weight","Totaal Gewicht"
"Display Total Weight","Toon Totaal Gewicht"
"kg","kilo"
"Background Image for PDF Print-outs","Achtergrondafbeelding voor PDF Print-outs"
"Placement of Logo","Plaatsen van Logo"
"Logo Width","Breedte Logo"
"Logo Height","Hoogte Logo"
"Logo top-left Corner from the left","Logo linker-bovenhoek van de linkerzijde"
"Logo top-left Corner from the top","Logo linker-bovenhoek van de bovenzijde"
"automatic","automatisch"
"no-scaling","niet-geschaald"
"manual","handmatig"
"Display Email Address","Toon email adres"
"Displays as part of the billing address.","Weergave als een deel van het factuuradres."
"in milimeters","in milimeters"
"Display Row Total Including Tax","Toon Rij Totaal Inclusief Btw"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","wordt enkel toegepast indien Btw> Orders, Facturen, Creditnota\'s Weergaveinstellingen> Prijzen zijn ingesteld zonder weergave Btw"
"Grand Total is tax inclusive","Totaal is inclusief Btw"
"Display only one Grand Total","Geef enkel een Totaal weer"
