"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s is succesvol toegevoegd aan uw verlanglijst. Klik <a href=""%2$s"">hier</a> om verder te gaan met winkelen."
"%s's Wishlist","%s's verlanglijst"
"* Required Fields","* Verplichte velden"
"Add All to Cart","Alles toevoegen aan winkelwagen"
"Add to Cart","In winkelwagen"
"Add to Wishlist","Zet op verlanglijst"
"Added On","Toegevoegd op"
"An error occurred while adding item to wishlist.","Er is een fout opgetreden bij het toevoegen van het product aan de verlanglijst."
"An error occurred while adding item to wishlist: %s","Er is een fout opgetreden bij het toevoegen van het product aan de verlanglijst: %s"
"An error occurred while deleting the item from wishlist.","Er is een fout opgetreden bij het verwijderen van het product uit de verlanglijst."
"An error occurred while deleting the item from wishlist: %s","Er is een fout opgetreden bij het verwijderen van het product uit de verlanglijst: %s"
"Are You sure?","Weet u het zeker?"
"Are you sure you want to remove this product from your wishlist?","Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Are you sure you would like to remove this item from the wishlist?","Popular Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Back","Terug"
"Can't save description %s","Kan de beschrijving niet opslaan %s"
"Can't update wishlist","Kan de verlanglijst niet bijwerken"
"Cannot add item to shopping cart","Het item kan niet worden toegevoegd aan het winkelwagen"
"Cannot add the item to shopping cart.","Het product kan niet worden toegevoegd aan het winkelwagen."
"Cannot create wishlist","Kan verlanglijst niet aanmaken"
"Cannot create wishlist.","Er kan geen verlanglijst worden gemaakt."
"Cannot specify product","Kan product niet opgeven"
"Cannot specify product.","Het product kan niet worden gespecificeerd."
"Cannot specify wishlist.","Het verlanglijstje kan niet worden gespecificeerd."
"Cannot update wishlist","Het bijwerken van het verlanglijstje is mislukt."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Vink het vakje aan om een link toe te voegen naar een RSS Feed van uw verlanglijst"
"Comment","Notitie"
"Comment:","Notitie:"
"Configure Wishlist Item","Product > Wijzig productopties (uit verlanglijst)"
"Customer My Account My Wishlist","Klant > Mijn Account > Mijn verlanglijst"
"Customer My Account Wishlist Sharing Form","Klant > Mijn Account > Verlanglijst deelformulier"
"Customer Shared Wishlist View","Klant > Mijn Account > Verlanglijst delen"
"Display Wishlist Summary","Toon samenvatting verlanglijst"
"Email Sender","E-mail afzender"
"Email Template","E-mail sjabloon"
"Email address can't be empty.","Het E-mail adres moet worden ingevuld."
"Email addresses, separated by commas","E-mailadressen, gescheiden door komma’s"
"Enabled","Ingeschakeld"
"General Options","Algemene opties"
"Go to Wishlist","Ga naar verlanglijst"
"Last Added Items","Laatst toegevoegde artikelen"
"Message","Bericht"
"My Wishlist","Mijn verlanglijst"
"My Wishlist (%d item)","Mijn verlanglijst (%d artikel)"
"My Wishlist (%d items)","Mijn verlanglijst (%d artikelen)"
"My Wishlist <small>(%d)</small>","Mijn verlanglijst <small>(%d)</small>"
"My Wishlist Link","Mijn verlanglijst link"
"Out of stock","Niet op voorraad"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Voer geldige e-mailadressen in, gescheiden door komma’s. Bijvoorbeeld iemand@domein.com, iemandanders@domein.com."
"Please enter your comments...","Voeg uw notities toe aub..."
"Please input a valid email address.","Voer een geldig E-mail adres in aub."
"Please, enter your comments...","Voeg uw notities toe aub."
"Product","Product"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Product(en) %s zijn gegroepeerd. Elk item kan afzonderlijk worden toegevoegd aan uw winkelwagen."
"Product(s) %s have required options. Each of them can be added to cart separately only.","De product(en) %s bevatten verplichte opties. Elk item kan afzonderlijk worden toegevoegd aan uw winkelwagen."
"RSS Feed","RSS feed"
"RSS link to %s's wishlist","RSS-link naar %s’s verlanglijst"
"Remove Item","Artikel verwijderen"
"Remove This Item","Verwijder Dit Artikel"
"Share Options","Delen Opties"
"Share Wishlist","Deel verlanglijst"
"Share Your Wishlist","Deel uw verlanglijst"
"Share options","Opties verlanglijst delen"
"Sharing Information","Informatie delen"
"There was an error while adding item to wishlist.","Fout tijdens het toevoegen van artikel aan verlanglijst"
"There was an error while adding item to wishlist: %s","Fout tijdens het toevoegen van artikel aan verlanglijst: %s"
"There was an error while deleting item from wishlist.","Fout tijdens het verwijderen van artikel van verlanglijst"
"There was an error while deleting item from wishlist: %s","Fout opgetreden tijdens het verwijderen van artikel van verlanglijst: %s"
"This product(s) is currently out of stock","De product(en) zijn momenteel niet op voorraad."
"This product(s) is currently out of stock:","Dit product is momenteel niet in voorraad"
"Unable to add the following product(s) to shopping cart: %s.","De volgende product(en) kunnen niet worden toegevoegd aan het winkelwagen: %s."
"Update Wishlist","Verlanglijst bijwerken"
"View Product","Product bekijken"
"Wishlist","Verlanglijst"
"Wishlist Section","Sectie Verlanglijst"
"Wishlist Sharing","Verlanglijst delen"
"Wishlist is empty now.","Verlanglijst is nu leeg"
"You have no items in your wishlist.","U hebt niets op uw verlanglijst staan"
"You input not valid email address.","Uw invoer bevat geen geldig e-mailadres"
"Your Wishlist has been shared.","Uw verlanglijstje is opgeslagen."
"Your Wishlist was successfully shared","Uw verlanglijst is succesvol gedeeld"
