"Invoice (notify Customer)","Factuur aanmaken (klant mailen)"
"Invoice (don't notify Customer)","Factuur aanmaken (klant NIET mailen)"
"Invoice / Print (notify Customer)","Factuur aanmaken / Afdrukken (klant mailen)"
"Invoice / Print (don't notify Customer)","Factuur aanmaken / Afdrukken (klant NIET mailen)"
"Ship (notify Customer)","Verzending aanmaken (klant mailen)"
"Ship (don't notify Customer)","Verzending aanmaken (klant NIET mailen)"
"Ship / Print (notify Customer)","Verzending aanmaken / Afdrukken (klant mailen)"
"Ship / Print (don't notify Customer)","Verzending aanmaken / Afdrukken (klant NIET mailen)"
"Invoice / Ship (notify Customer)","Factuur en verzending aanmaken (klant mailen)"
"Invoice / Ship (don't notify Customer)","Factuur en verzending aanmaken (klant NIET mailen)"
"Invoice / Ship / Print (notify Customer)","Factuur en verzending aanmaken / Afdrukken (klant mailen)"
"Invoice / Ship / Print (don't notify Customer)","Factuur en verzending aanmaken / Afdrukken (klant NIET mailen)"
"Invoice / Ship / Complete (notify Customer)","Factuur en verzending aanmaken / Order completeren (klant mailen)"
"Invoice / Ship / Complete (don't notify Customer)","Factuur en verzending aanmaken / Order completeren (klant NIET mailen)"
"Invoice / Ship / Complete / Print (notify Customer)","Factuur en verzending aanmaken / Afdrukken / Order completeren (klant mailen)"
"Invoice / Ship / Complete / Print (don't notify Customer)","Factuur en verzending aanmaken / Afdrukken / Order completeren (klant NIET mailen)"
"Complete Order","Order completeren"
"Set Order Status to 'Geannuleerd'","Zet order status op 'Geannuleerd'"
"Set Order Status to 'Gesloten'","Zet order status op 'Gesloten'"
"Set Order Status to 'Verzonden'","Zet order status op 'Verzonden'"
"Set Order Status to 'Verdacht tot fraude'","Zet order status op 'Verdacht tot fraude'"
"Set Order Status to 'In de wacht'","Zet order status op 'In de wacht'"
"Set Order Status to 'Toon Betaling'","Zet order status op 'Toon Betaling'"
"Set Order Status to 'Nieuw'","Zet order status op 'Nieuw'"
"Set Order Status to 'Wachten op betaling'","Zet order status op 'Wachten op betaling'"
"Set Order Status to 'In afwachting van PayPal'","Zet order status op 'In afwachting van PayPal'"
"Set Order Status to 'Betaald, nog te verzenden'","Zet order status op 'Betaald, nog te verzenden'"
"Set Order Status to 'Zizio Group Sale Pending'","Zet order status op 'Zizio Group Sale Pending'"
"Delete Order (canceled-only)","Verwijder bestelling (alleen geannuleerde orders)" 

