"Verified by Visa","Geverifieerd door Visa"
"Verification cannot be processed","Verificatie kan niet worden uitgevoerd"
"Verification Successful","Succesvol geverifieerd"
"Verification Failed","Verificatie faalde"
"Validation failed.","Validatie faalde."
"Unable to complete","Kon niet afgerond worden"
"To ensure the security of your transactions","Om de veiligheid van uw transacties te garanderen"
"This card has failed validation, but it is possible to place the order.","Deze kaart is onjuist gevalideerd. De order kan wel geplaatst worden."
"This card has failed validation and cannot be used.","Deze kaart is onjuist gevalideerd en kan niet worden gebruikt."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Er is onjuiste betalingsinformatie ingevoerd of de tijdslimiet is verstreken. Probeer het a.u.b. nog eens."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Er is onjuiste betalingsinformatie ingevoerd of de tijdslimiet is verstreken. Probeer het a.u.b. nog eens."
"The card has failed verification with the issuer bank.","De kaart kon niet geverifieerd worden bij de uitgevende bank."
"Successful attempt","Succesvolle poging"
"Successful","Succesvol"
"Start/Reset Validation...","Start/Reset validatie..."
"Order cannot be placed.","Order kan niet geplaatst worden"
"Payment information error. Please start over.","Betalingsinformatiefout. Gelieve opnieuw te beginnen."
"Please continue with placing order.","Ga verder met het plaatsen van de order."
"Please verify the card with the issuer bank before placing the order.","Verifieer de kaart bij de uitgevende bank alvorens de order te plaatsen."
"Please verify the card with the issuer bank:","Verifieer de kaart bij de uitgevende bank:"
"Not Enrolled","Niet ingeschreven"
"Failed","Faalde"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Verkoperaansprakelijkheid"
"Enrolled but Authentication Unavailable","Ingeschreven maar Authenticatie niet beschikbaar"
"Enrolled","Ingeschreven"
"Card Verification","Kaartverificatie"
"Card Issuer Liability","Aansprakelijkheid van kaartuitgever"
"3D Secure XID","3D Secure XID"
"3D Secure Verification Result","3D Secure Verificatieresultaten"
"3D Secure Electronic Commerce Indicator","3D Secure Elektronische Commercie Indicator"
"3D Secure Cardholder Validation","3D Secure Kaarthoudervalidatie"
"3D Secure Card Validation","3D Secure Kaartvalidatie"
"3D Secure CAVV","3D Secure CAVV"
