"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Rating","Nieuwe waardering toevoegen"
"Assigned Options","Toegewezen opties"
"Be the first to review this product","Schrijf de eerste beoordeling van dit product"
"Default Value","Standaardwaarde"
"Delete Rating","Verwijder waardering"
"Edit Rating","Bewerk waardering"
"ID","Id"
"If you do not specify a rating title for a store, the default value will be used.","Indien u geen kenmerk-titel opgeeft voor een winkel zal de standaardwaarde worden gebruikt"
"Manage Ratings","Beheer waarderingen"
"New Rating","Nieuwe waardering"
"Option Label","Optie-label"
"Option Title","Optietitel"
"Option Title:","Optietitel:"
"Please select one of each ratings above","Geef een score voor elk kenmerk hierboven a.u.b."
"Rating Information","Rating-gegevens"
"Rating Name","Waarderingsnaam"
"Rating Options","Waarderingsopties"
"Rating Title","Titel kenmerk"
"Rating Visibility","Zichtbaarheid scores"
"Rating isn't Available","Waardering is niet beschikbaar"
"Rating with the same title","Kenmerk met dezelfde titel"
"Save Rating","Kenmerk opslaan"
"Sort Order","Sorteervolgorde"
"Visible In","Zichtbaar in"
