"%d Review(s)","%d Commentaire(s)"
"%s Review(s)","%s Commentaire(s)"
"(Posted on %s)","(Posté le %s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Review","Ajouter nouveau commentaire"
"Add Your Review","Ajoutez votre commentaire"
"Administrator","Administrateur"
"All Reviews","Tous les commentaires"
"All Reviews of Customer `%s`","Tous les commentaires du client '%s'"
"Allow Guests to Write Reviews","Autoriser les invités à écrire des commentaires"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Average Customer Rating","Note moyenne"
"Average Customer Rating:","Note moyenne des clients :"
"Back","Retour"
"Back to Main Product Info","Retour à la fiche du produit"
"Back to My Reviews","Retour à mes commentaires"
"Back to Product Reviews","Retour aux commentaires"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Catalog Product Review View","Vue des commentaires de produits"
"Catalog Product Reviews List","Liste des commentaires de produits"
"Created On","Créé le"
"Customer","Client"
"Customer My Account Product Reviews","Commentaires de produit dans le compte client"
"Customer My Account Review Details","Détails des commentaires dans le compte client"
"Customer Reviews","Commentaires des clients"
"Delete","Supprimer"
"Delete Review","Supprimer le commentaire"
"Detailed Rating","Notation détaillée"
"Edit Review '%s'","Éditer le commentaire '%s'"
"Guest","Invité"
"How do you rate this product?","Quelle note donneriez-vous à ce produit ?"
"ID","ID"
"Manage Ratings","Gérer les notations"
"My Product Reviews","Mes commentaires"
"My Recent Reviews","Mes derniers commentaires :"
"Name","Nom"
"Name in Store","Nom dans la boutique"
"New Review","Nouveau commentaire"
"Nickname","Pseudo"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Seuls les utilisateurs inscrits peuvent écrire des commentaires. Veuillez <a href=""%s"">vous connecter</a> ou <a href=""%s"">vous enregistrer</a>"
"Pending Reviews","Commentaires en attente"
"Pending Reviews of Customer `%s`","Commentaires en attente du client '%s'"
"Please select a product","Sélectionnez un produit"
"Please select one of each of the ratings above","Sélectionnez une notation de chaque parmi les suivantes"
"Posted By","Posté par"
"Price","Prix"
"Product","Produit"
"Product Name","Nom du produit"
"Product Rating","Notation du produit"
"Product Rating:","Note du produit :"
"Product Review (submitted on %s):","<strong>Commentaire</strong> (posté le %s) :"
"Product Reviews","Commentaires"
"Product SKU","Réf. Produit"
"Qty","Qté"
"Rating:","Note :"
"Review","Commentaire"
"Review (submitted on %s):","Commentaire (soumis le %s) :"
"Review Details","Détail du commentaire"
"Review Form Fields Before","Avant le formulaire de commentaire"
"Review by <span>%s</span>","Commentaire par <span>%s</span>"
"Reviews and Ratings","Commentaires et notations"
"SKU","Réf."
"Save Review","Sauvegarder le commentaire"
"Status","Statut"
"Submit Review","Poster le commentaire"
"Summary Rating","Aperçu des notations"
"Summary of Review","Résumé du commentaire"
"Summary of Your Review","Résumé de votre commentaire"
"Title","Titre"
"Type","Type"
"Unable to post the review.","Impossible de poster le commentaire"
"Update Status","Mettre à jour le statut"
"View All Reviews","Voir tous les commentaires"
"View Details","Voir les détails"
"Visible In","Visible dans"
"Websites","Sites web"
"Write Your Own Review","Rédigez votre propre commentaire"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"You're reviewing:","Vous commentez :"
"Your Rating:","Votre note :"
"Your Review (submitted on %s):","<strong>Votre commentaire</strong> (posté le %s) :"
"Your review has been accepted for moderation.","Votre commentaire a été accepté pour modération."
"Not Approved","Non approuvé"
"Customers Reviews","Clients ayant commenté"
"Products Reviews","Produits commentés"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"All Reviews of Product `%s`","Tous les commentaires pour le produit '%s'"
"Nickname can't be empty","Le surnom ne peut pas être vide"
"Review can't be empty","Le commentaire ne peut pas être vide"
"Review summary can't be empty","Le résumé de commentaire ne peut pas être vide"
