"Add Recipient","Ajouter destinataire"
"Allow for Guests","Autoriser pour les invités"
"An invalid email address for recipient was entered.","L'adresse email saisie pour le destinataire est invalide."
"At least one recipient must be specified.","Au moins un destinataire doit être saisi."
"Back","Retour"
"Catalog Product Email to a Friend","Envoyer à un ami"
"Email Address","Adresse mail"
"Email Address:","Adresse mail :"
"Email Templates","Gabarits d'email"
"Email to a Friend","Envoyer à un ami"
"Email:","Email :"
"Enabled","Activé"
"Invalid Sender Information","Les informations de l'expéditeur sont invalides"
"Invalid sender email.","L'email de l'expéditeur est invalide."
"Limit Sending By","Limiter l'envoi par"
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Max Recipients","Nombre maxi de destinataires"
"Maximum %d email addresses allowed.","%d adresses mail maxi autorisées"
"Message:","Message :"
"Name","Nom"
"Name:","Nom :"
"No more than %d emails can be sent at a time.","Il n'est pas possible d'envoyer plus de %d emails à la fois."
"Please define a correct Cookie instance.","Définissez une instance de cookie correcte."
"Please define a correct Product instance.","Définissez une instance de produit correcte."
"Please define the correct Sender information.","Définissez correctement les informations de l'expéditeur."
"Recipient:","Destinataire :"
"Remove Email","Supprimer email"
"Select Email Template","Sélectionner le gabarit d'email"
"Send Email","Envoyer un email"
"Send product to a friend","Envoyer le produit à un ami"
"Sender:","Expéditeur :"
"Some emails were not sent.","Certains emails n'ont pas été envoyés."
"The link to a friend was sent.","Le lien à un ami a été envoyé."
"The message cannot be empty.","Le message ne peut pas être vide."
"The messages cannot be sent more than %d times in an hour","Il n'est pas possible d'envoyer plus de %d messages en une heure."
"The sender name cannot be empty.","Le nom de l'expéditeur ne peut pas être vide."
"There were some problems with the data.","Problèmes avec les données."
"You have exceeded limit of %d sends in an hour","Vous avez dépassé la limite de %d envois par heure"
