"Alert Email Sender","Expéditeur du mail d'alerte"
"Alert subscription has been saved.","L'inscription à l'alerte a été sauvegardée."
"Allow Alert When Product Comes Back in Stock","Autoriser l'alerte de disponibilité de produit."
"Allow Alert When Product Price Changes","Autoriser l'alerte de changement de prix."
"Click here not to receive alerts for this product","Cliquez ici pour ne plus recevoir d'alerte pour ce produit"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Frequency","Fréquence"
"Not enough parameters.","Pas assez de paramètres."
"Price Alert Email Template","Gabarit du mail d'alerte de changement de prix"
"Price:","Prix :"
"Product Alerts","Alertes du produit"
"Product Alerts Run Settings","Paramétrage d'exécution des alertes de produit"
"Product alerts Cron error","Erreur de cron pour les alertes produits"
"Product price alert","Alerte de prix produit"
"Product stock alert","Alerte de disponibilité de produit"
"Regular Price:","Prix normal :"
"Sign up for price alert","Enregistrez-vous pour recevoir une alerte de modification de prix"
"Sign up to get notified when this product is back in stock","Enregistrez-vous pour être averti quand le produit sera de nouveau disponible"
"Special price:","Prix promotionnel :"
"Start Time","Heure de début"
"Stock Alert Email Template","Gabarit du mail d'alerte de disponibilité"
"The alert subscription has been deleted.","L'inscription à l'alerte a été supprimée."
"The alert subscription has been saved.","L'inscription à l'alerte a été sauvegardée."
"The product is not found.","Le produit n'a pas été trouvé."
"The product was not found.","Le produit n'a pas été trouvé."
"Unable to update the alert subscription.","Impossible de mettre à jour l'inscription à l'alerte."
"Unsubscribe from all price alerts","Se désabonner de toutes les alertes de prix"
"Unsubscribe from all stock alerts","Se désabonner de toutes les alertes de disponibilité"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Vous recevez cette alerte car vous avez demandé à être alerté quand les produits suivants sont de nouveau disponibles :"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Vous recevez cette alerte car vous avez demandé à être alerté quand les produits suivants sont modifiés :"
"You will no longer receive price alerts for this product.","Vous ne recevrez plus d'alertes de changement de prix pour ce produit."
"You will no longer receive stock alerts for this product.","Vous ne recevrez plus d'alertes de disponibilité pour ce produit."
"You will no longer receive stock alerts.","Vous ne recevrez plus d'alertes de disponibilité."
