"Open","Abierta"
"Actions","Acciones"
"Add New Poll","Agregar una nueva encuesta"
"Add New Answer","Agregar una nueva respuesta"
"Add Answer","Agregar una respuesta"
"Delete","Borrar"
"Delete Poll","Borrar la encuesta"
"Delete Answer","Borrar la respuesta"
"Closed","Cerrada"
"Votes Count","Contador de votos"
"Votes Count:","Contador de votos:"
"Edit Poll '%s'","Editar encuesta '%s'"
"Edit Poll Answer","Editar las respuestas de la encuesta"
"Edit Answer '%s'","Editar respuesta '%s'"
"Poll with the same question","Encuesta con la misma pregunta"
"Community Poll","Encuesta de la comunidad"
"Status","Estado"
"Are you sure you want to delete it?","Está seguro de borrarlo?"
"Date Closed","Fecha de cierre"
"Date Posted","Fecha de la publicación"
"Poll Manager","Gestor de encuestas"
"Save Poll","Guardar la encuesta"
"Save Answer","Guardar la respuesta"
"ID","ID"
"Unable to find answer to delete.","Imposible encontrar una respuesta para borrar."
"Poll information","Información de la encuesta"
"Poll Information","Información de la encuesta"
"Poll not exists","La encuesta no existe"
"Answer was successfully saved","La respuesta fue guardada con éxito"
"Number of Responses","Número de respuestas"
"Disallow voting in a poll multiple times from same IP-address","No permitir la votación en una encuesta varias veces de la misma dirección IP"
"New Poll","Nueva encuesta"
"Poll Question","Pregunta de la encuesta"
"Answer with the same title in this poll","Respuesta con el mismo título en esta encuesta"
"Invalid Answer","Respuesta inválida"
"Assigned Answers","Respuestas asignadas"
"Poll Answers","Respuestas de la encuesta"
"Answer Title","Título de la respuesta"
"Answer Title:","Título de la respuesta:"
"Visible In","Visible en"
"Vote","Votar"
