"%s was added to your shopping cart.","%s is toegevoegd aan de winkelwagen."
"%s was updated in your shopping cart.","%s is bijgewerkt in de winkelwagen."
"* Required Fields","* Verplichte invoervelden"
"Add New Address","Nieuw adres"
"Add New Condition","Nieuwe voorwaarde"
"Add coupon code for shopping cart","Coupon voor winkelwagen toevoegen"
"Add gift messages to shopping cart","Toevoegen geschenkboodschappen aan winkelwagen"
"Add product to shopping cart","Toevoegen product aan winkelwagen"
"Add product(s) to shopping cart","Voeg product(en) toe aan winkelwagen"
"Add to Cart","Toevoegen aan winkelwagen"
"Add to Compare","Toevoegen aan vergelijking"
"Add to Wishlist","Zet op verlanglijstje"
"Additional Product Info","Aanvullende productinformatie"
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"After Adding a Product Redirect to Shopping Cart","Na het toevoegen van een product rechtstreeks naar pagina van de winkelwagen sturen"
"Allow Guest Checkout","Toestaan bestellingen door gastgebruikers"
"Already registered?","Al geregistreerd?"
"An error occurred in the process of payment","Fout opgetreden tijdens het betaalproces"
"An error occurred while deleting this condition.","Fout opgetreden bij het verwijderen van deze voorwaarde."
"An error occurred while saving this condition.","Fout opgetreden bij het opslaan van deze voorwaarde."
"Apply Coupon","Toepassen waardebon"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Bevestig definitief deze pagina te willen verlaten: de stappen om af te rekenen moeten dan opnieuw doorlopen worden."
"Apply","Toepassen"
"Are you sure you would like to remove this item from the shopping cart?","Dit artikel verwijderen uit de winkelwagen?"
"Back","Terug"
"Back to Billing Information","Terug naar facturatie"
"Back to Select Addresses","Terug naar selecteren adressen"
"Back to Shipping Information","Terug naar bezorg- en aflevergegevens"
"Back to Shopping Cart","Terug naar winkelwagen"
"Based on your selection, you may be interested in the following items:","Gebaseerd op de huidige keuze, zijn wellicht ook de volgende artikelen nog interessant:"
"Billing Address","Factuuradres"
"Billing Information","Factuuradres"
"Billing Information - %s","Factuuradres - %s"
"Cancel Coupon","Annuleer kortingscode"
"Cannot add item to the shopping cart.","Kan artikel niet aan winkelwagen toevoegen"
"Cannot add the item to shopping cart","Kan het artikel niet toevoegen aan de winkelwagen"
"Cannot add the item to shopping cart.","Kan het artikel niet toevoegen aan de winkelwagen."
"Cancel","Annuleer"
"Cannot apply the coupon code.","Kan waardeboncode niet toepassen."
"Cannot configure product.","Kan product niet configureren."
"Cannot open the overview page","Kan de overzichtspagina niet openen"
"Cannot process the item.","Kan het item niet verwerken."
"Cannot remove the item.","Kan dit artikel niet verwijderen."
"Cannot update shopping cart.","Kan de winkelwagen niet bijwerken."
"Cannot update the item.","Kan het onderdeel niet bijwerken."
"Card Verification Number Visual Reference","Kaart bevestigingsnummer visuele referentie"
"Cart Product API","Winkelwagen product API"
"View Cart","Bekijk winkelwagen"
"Cart Subtotal:","Subtotaal:"
"Change","Wijzigen"
"Cart","Winkelwagen"
"Change Billing Address","Wijzigen factuuradres"
"Checkbox Text","Tekst selectievakje (checkbox)"
"Checkout","Afrekenen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Method","Registreren en afrekenen"
"Checkout Options","Betaalopties"
"Checkout Progress Wrapper","Voortgangblok"
"Checkout Section","Sectie afrekenen"
"Checkout Terms and Conditions","Algemene gebruikersvoorwaarden"
"Checkout as Guest","Afrekenen als gastgebruiker"
"Checkout as a Guest or Register","Door naar afrekenen of registreer een persoonlijke account"
"Checkout with Multiple Addresses","Afrekenen met meerdere adressen"
"City","Plaats"
"Clear Shopping Cart","Leeg winkelwagen"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Druk een kopie af</a> van de bestelbevestiging."
"Click <a href=""%s"">here</a> to continue shopping.","Klik om <a href=""%s"">verder te gaan</a> met winkelen."
"Close","Sluiten"
"Company","Bedrijf"
"Condition Name","Naam van voorwaarde"
"Configurable Product Image","Afbeelding configureerbaar product"
"Configure Cart Item","Configureer winkelwagen onderdeel"
"Confirm Password","Bevestig wachtwoord"
"Content","Inhoud"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Continue","Ga verder"
"Continue Shopping","Verder winkelen"
"Continue to Billing Information","Door naar factuuradres opgeven"
"Continue to Review Your Order","Door naar bestelling controleren"
"Continue to Shipping Information","Door naar transport- en afleverinformatie"
"Country","Land"
"Coupon code ""%s"" is not valid.","Boncode ""%s"" is niet geldig."
"Coupon code ""%s"" was applied.","Boncode ""%s"" is succesvol toegepast."
"Coupon code was canceled.","Boncode geannuleerd."
"Create Billing Address","Maak factuuradres"
"Create Shipping Address","Maak afleveradres"
"Create an order from shopping cart","Maak een bestelling van winkelwagen"
"Create shopping cart","Maak winkelwagen"
"Customer Address is not valid.","Klantadres is niet geldig."
"Customer Information","Klantinformatie"
"Customer's information","Informatie van klant"
"Data saving problem","Probleem bij het opslaan van gegevens"
"Default Billing","Standaard factuuradres"
"Default Shipping","Standaard afleveradres"
"Delete Condition","Verwijder voorwaarde"
"Details","Details"
"Disabled","Uitgeschakeld"
"Discount Codes","Kortingcodes"
"Display Cart Summary","Weergeven winkelwagen samenvatting"
"Display Shopping Cart Sidebar","Weergeven winkelwagen in zijbalk"
"Display item quantities","Weergeven bestelde hoeveelheden"
"Display number of items in cart","Weergeven aantal winkelwagen"
"Display number of items in wishlist","Weergeven aantal op verlanglijst"
"Easy access to your order history and status","Eenvoudige toegang tot de geschiedenis en status van bestellingen"
"Edit","Wijzigen"
"Edit Address","Bewerk adres"
"Edit Billing Address","Bewerk factuuradres"
"Edit Condition","Bewerk voorwaarde"
"Edit Items","Bewerk onderdelen"
"Edit Shipping Address","Bewerk afleveradres"
"Edit Terms and Conditions","Bewerken (leverings)voorwaarden"
"Edit Your Cart","Bewerk de winkelwagen"
"Edit item","Bewerk onderdeel"
"Edit item parameters","Bewerk onderdeeleigenschappen"
"Email Address","E-mailadres"
"Empty Cart","Leeg winkelwagen"
"Enable Onepage Checkout","Inschakelen enkelvoudig afrekenscherm (OnePage Checkout)"
"Enable Terms and Conditions","Inschakelen algemene (leverings)voorwaarden"
"Enabled","Ingeschakeld"
"Enter a New Address","Voer een nieuw adres in"
"Enter your coupon code if you have one.","In het bezit van een boncode? Voer deze hier dan in."
"Enter your destination to get a shipping estimate.","Geef een bestemming op om de verzendkosten van de bestelling te schatten."
"Estimate Shipping and Tax","Verwachte verzendkosten en BTW"
"Excl. Tax","Excl. BTW"
"Fast and easy check out","Snel en eenvoudig afrekenen."
"Fax","Faxnummer"
"Forgot an Item?","Iets vergeten?"
"Forgot your password?","Wachtwoord vergeten?"
