"%s codes deleted","%s codes verwijderd"
"%s codes imported","%s codes geimporteerd"
"%s codes not imported","%s codes niet geimporteerd"
"%s product in feed.","%s product in feed"
"%s product not in feed.","%s producten niet in de feed"
"Add new","Voeg nieuw toe"
"Attrib. Set Name","Attributen set naam"
"Attributes map","Attributen map"
"Cron Frequency","Cron frequentie"
"Cron Hour","Cron uur"
"Delete","Verwijder"
"Eav code","Eav code"
"FTP Password","FTP Wachtwoord"
"FTP Path","FTP Pad"
"FTP Server","FTP Server"
"FTP Settings","FTP Instellingen"
"FTP User","FTP Gebruiker"
"FTP: Can't delete files","FTP : Kan geen bestanden verwijderen"
"Feed","Feed"
"Feed code","Feed code"
"ID","ID"
"Import","Importeer"
"Import attribute map","Importeer attributen map"
"Import code","Importeer code"
"In feed","In feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Om toegang tot uw FTP-account informatie te krijgen moet u eerst uw winkel registreren en verifieren in TheFind Merchant Center. Klik <a href=""https://merchant.thefind.com/mc/claim.fhtml"">hier</a> om te beginnen."
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=https://merchant.thefind.com/mc/claim.fhtml>here</a> to get started.","Om toegang tot uw FTP-account informatie te krijgen moet u eerst uw winkel registreren en verifieren in TheFind Merchant Center. Klik <a href=https://merchant.thefind.com/mc/claim.fhtml>hier</a> om te beginnen."
"Is imported","Is geimporteerd"
"Item params","Item parameters"
"Manage attributes","Beheer attributen"
"Manage items","Beheer items"
"Not import","Niet importeren"
"Not publish","Niet publiceren"
"Price","Prijs"
"Product Name","Product Naam"
"Product import","Product importeren"
"Publish","Publiceer"
"SKU","Artikelnummer"
"Settings","Instellingen"
"The Find","TheFind"
"TheFind Feed Filename","TheFind Feed bestandsnaam"
"TheFind feed","TheFind Feed"
"Type","Type"
"Unable to process an import. ","Niet in staat om te importeren"
"Update TheFind Item when Product is Updated","Update TheFind item als product wordt geupdate"
