"'Show More' URL suffix","'Toon meer' URL-achtervoegsel"
"'Show More' and 'Show Less' actions","'Toon meer' en 'Toon minder' acties"
"'Show More' popup","'Toon meer' popup"
"Applied to 'Show More' and 'Show Less' actions when 'Preload All Items' parameter is enabled.","Toegepast op 'Toon meer' en 'Toon minder' acties op het moment dat 'Preload alle items' is ingeschakeld."
"Apply","Toepassen"
"Close","Sluiten"
"Expand/Collapse Time in Milliseconds","In-/Uitklap-tijd in miliseconden"
"If enabled, all filter items are preloaded, 'Show More' and 'Show Less' actions do not reload the page and are very fast.","Wanneer ingeschakeld, worden alle filter-items gepreloadt, 'Toon meer' en 'Toon minder' acties hoeven de pagina niet te herladen en zijn daarom zeer snel."
"In case filter has more than specified number of items, only first items are displayed, as well as 'Show More' and 'Show Less' actions.","In het geval dat de filter meer dan het aangegeven aantal items heeft, wordt enkel de eerste items getoond en ook de 'Toon meer' en 'Toon minder' acties"
"Injected into SEO friendly layered navigation URLs to indicate that filter shows all items.","Injecteer in SEO-vriendelijke-gelaagde-navigatie-URL's om aant te geven dat de filter alle producten toont."
"Item Limit","Item-limiet"
"Method of Showing All Items","Methode om alle items te tonen"
"Mouse Click","Muisklik"
"Mouse Over","Muis-over"
"Number of Columns in Popup","Aantal kolommen in popup"
"Number of Rows in Popup","Aantal rijen in popup"
"Preload All Items","Preload alle items"
"Scroll bar","Scroll bar"
"Search Engine Optimization","Zoekmachine optimalisatie"
"Show 'Please Wait'","Toon 'Wacht a.u.b.'"
"Show Less","Toon minder"
"Show More","Toon meer"
"Show More Popup","Toon meer Popup"
"Show Network Errors in Frontend","Toon netwerkfouten op frontend."
"Show Popup On","Toon popup op"
