"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s is succesvol toegevoegd aan uw verlanglijst. Klik <a href=""%2$s"">hier</a> om verder te gaan met winkelen."
"%1$s has been updated in your wishlist.","%1$s zijn bijgewerkt in uw verlanglijst"
"%d product(s) have been added to shopping cart: %s.","%d product(en) zijn toegevoegd aan uw winkelwagen: %s."
"%s for ""%s"".","%s voor ""%s""."
"%s has been moved to wishlist %s","%s is verplaatst naar uw verlanglijst %s"
"%s's Wishlist","%s's verlanglijst"
"* Required Fields","* Verplichte velden"
"Add All to Cart","Alles toevoegen aan winkelwagen"
"Add to Cart","In winkelwagen"
"Add to Compare","Voeg toe aan productvergelijking"
"Add to Wishlist","Zet op verlanglijst"
"Added From","Toegevoegd vanaf"
"An error occurred while adding item to wishlist.","Er is een fout opgetreden bij het toevoegen van het product aan de verlanglijst."
"An error occurred while adding item to wishlist: %s","Er is een fout opgetreden bij het toevoegen van het product aan de verlanglijst: %s"
"An error occurred while deleting the item from wishlist.","Er is een fout opgetreden bij het verwijderen van het product uit de verlanglijst."
"An error occurred while deleting the item from wishlist: %s","Er is een fout opgetreden bij het verwijderen van het product uit de verlanglijst: %s"
"An error occurred while updating wishlist.","Er is een fout opgetreden bij het bijwerken van de verlanglijst"
"Are you sure you want to remove this product from your wishlist?","Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Are you sure you would like to remove this item from the wishlist?","Popular Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Back","Terug"
"Can\'t delete item from wishlist","Kan product niet verwijderen van verlanglijst"
"Can\'t save description %s","Kan omschrijving niet opslaan %s"
"Can\'t update wishlist","Kan verlanglijst niet opslaan"
"Cannot add item to shopping cart","Het item kan niet worden toegevoegd aan het winkelwagen"
"Cannot add the item to shopping cart.","Het product kan niet worden toegevoegd aan het winkelwagen."
"Cannot configure product","Kan het product niet configureren"
"Cannot load wishlist item","Kan de verlanglijst niet laden"
"Cannot move item to wishlist","Kan het product niet naar je verlanglijst verplaatsen"
"Cannot specify product.","Het product kan niet worden gespecificeerd."
"Cannot specify wishlist item.","Kan verlanglijst product niet specificeren."
"Cannot specify wishlist.","Het verlanglijstje kan niet worden gespecificeerd."
"Cannot update wishlist","Het bijwerken van het verlanglijstje is mislukt."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Vink het vakje aan om een link toe te voegen naar een RSS Feed van uw verlanglijst"
"Click for price","Klik voor prijs"
"Comment","Notitie"
"Comment:","Notitie:"
"Configure Wishlist Item","Product > Wijzig productopties (uit verlanglijst)"
"Configured Price:","Geconfigureerde prijs:"
"Could not find wishlist","Kon niet vinden op verlanglijst"
"Customer My Account My Wishlist","Klant > Mijn Account > Mijn verlanglijst"
"Customer My Account Wishlist Sharing Form","Klant > Mijn Account > Verlanglijst deelformulier"
"Customer Shared Wishlist View","Klant > Mijn Account > Verlanglijst delen"
"Date Added","Datum toegevoegd"
"Days in Wishlist","Dagen op verlanglijst"
"Display Wishlist Summary","Toon samenvatting verlanglijst"
"Edit","Wijzigen"
"Email Sender","E-mail afzender"
"Email Template","E-mail sjabloon"
"Email address can\'t be empty.","E-mailadres mag niet leeg zijn"
"Email addresses, separated by commas","E-mailadressen, gescheiden door komma’s"
"Enabled","Ingeschakeld"
"General Options","Algemene opties"
"Go to Wishlist","Ga naar verlanglijst"
"Helper for wishlist options rendering doesn't implement required interface.","Helper voor verlanglijst-opties rendering implementeer de verplichte interface niet."
"In stock","Op voorraad"
"Last Added Items","Laatst toegevoegde artikelen"
"Message","Bericht"
"My Wishlist","Mijn verlanglijst"
"My Wishlist (%d item)","Mijn verlanglijst (%d artikel)"
"My Wishlist (%d items)","Mijn verlanglijst (%d artikelen)"
"My Wishlist <small>(%d)</small>","Mijn verlanglijst <small>(%d)</small>"
"My Wishlist Link","Mijn verlanglijst link"
"Options Details","Details opties"
"Out of stock","Niet op voorraad"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Voer geldige e-mailadressen in, gescheiden door komma’s. Bijvoorbeeld iemand@domein.com, iemandanders@domein.com."
"Please input a valid email address.","Voer een geldig E-mail adres in aub."
"Please, enter your comments...","Voeg uw notities toe aub."
"Product","Artikel"
"Product Details and Comment","Productdetails en opmerkingen"
"Product(s) %s have required options. Each of them can be added to cart separately only.","De product(en) %s bevatten verplichte opties. Elk item kan afzonderlijk worden toegevoegd aan uw winkelwagen."
"RSS Feed","RSS feed"
"RSS link to %s's wishlist","RSS-link naar %s’s verlanglijst"
"Remove Item","Artikel verwijderen"
"Remove This Item","Verwijder dit artikel"
"Remove item","Verwijder dit artikel"
"Requested cart item doesn't exist","Opgevraagde winkelwagen-product bestaat niet."
"Requested wishlist doesn't exist","Opgevraagde verlanglijst bestaat niet"
"Share Options","Delen Opties"
"Share Wishlist","Deel verlanglijst"
"Share Your Wishlist","Deel uw verlanglijst"
"Sharing Information","Informatie delen"
"This Wishlist has no Items","De verlanglijst heeft geen producten"
"This product(s) is currently out of stock","De product(en) zijn momenteel niet op voorraad."
"Unable to add the following product(s) to shopping cart: %s.","De volgende product(en) kunnen niet worden toegevoegd aan het winkelwagen: %s."
"Update Wishlist","Verlanglijst bijwerken"
"User description","Beschrijving gebruikers"
"View Details","Details bekijken"
"View Product","Product bekijken"
"What's this?","Wat is dit?"
"Wishlist","Verlanglijst"
"Wishlist Section","Sectie Verlanglijst"
"Wishlist Sharing","Verlanglijst delen"
"Wishlist could not be created.","Verlanglijst kan niet worden aangemaakt."
"Wishlist is empty now.","Verlanglijst is nu leeg"
"You have no items in your wishlist.","U hebt niets op uw verlanglijst staan"
"Your Wishlist has been shared.","Uw verlanglijstje is opgeslagen."
