"* Required Fields","* Verplichte velden"
"-- Select --","-- Selecteer --"
"Add New Option","Nieuwe optie toevoegen"
"Add Selection","Selectie toevoegen"
"As Low as","Slechts"
"As low as","Slechts"
"Bundle Items","Bundel-artikelen"
"Bundle Product","Bundelproduct"
"Buy %1$s with %2$s discount each","Bestel %1$s met %2$s korting"
"Catalog Product View (Bundle)","Catalogus Product (Bundel)"
"Checkbox","Checkbox"
"Choose a selection...","Kies een optie&hellip;"
"Close","Sluiten"
"Default","Standaard"
"Default Qty","Standaard-aantal"
"Default Title","Standaard-titel"
"Drop-down","Dropdown"
"Dynamic","Dynamisch"
"Excl. Tax","Excl. BTW"
"Fixed","Vast"
"From","Van"
"From:","Van:"
"Gift Message","Bericht bij kado"
"Incl. Tax","Incl. BTW"
"Input Type","Type invoerveld"
"Is Required","Is verplicht"
"Message:","Bericht:"
"Multiple Select","Meervoudige selectie"
"N/A","N/B"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"None","Geen"
"Percent","Percentage"
"Percent Discount","Kortingspercentage"
"Please Select Products to Add","Kies producten om toe te voegen a.u.b."
"Please enter search conditions to view products.","Vul zoekcriteria in om producten te bekijken"
"Please select options for product.","Kies opties voor het product a.u.b."
"Please specify product option(s).","Selecteer de productoptie(s)."
"Position","Positie"
"Price Range","Prijsrange"
"Price Type","Prijstype"
"Price as configured","Prijs zoals geconfigureerd"
"Qty:","Aantal"
"Radio Buttons","Radio buttons"
"Required options are not selected.","De verplichte opties zijn niet geselecteerd."
"Selected required options are not available.","De geselecteerde opties zijn niet beschikbaar."
"Separately","Apart"
"Ship Bundle Items","Bundel-artikelen verzenden"
"Shipment","Verzending"
"Store View Title","Zichttitel bewaren"
"There is no defined renderer for ""%s"" option type.","Er is geen weergave gedefinieerd voor optietype ""%s""."
"This product is also part of bundle(s)","Dit product is ook onderdeel van één of meer bundels"
"To","Tot"
"To:","Tot:"
"Together","Samen"
"Use Default Value","Standaard waarde gebruiken"
"User Defined Qty","Door gebruiker gedefinieerd aantal"
